no|method|content|content_type|accept_type|graph|response content_type|output_type|no statements|initial input|same|moved|removed|body content|same|moved|removed|GET content_type|output_type|no statements|initial input|same|moved|removed|body content|same|moved|removed
128|PATCH|n-quads|application/n-quads|application/n-quads|none|application/n-quads|activity stream|0|||||||||application/n-quads|normal|5|modified|2|0|2|all found|||
129|PATCH|n-triples|application/n-triples|application/n-triples|default|application/n-triples|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|all found|||
130|PATCH|n-triples|application/n-triples|application/n-quads|default|application/n-quads|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|all found|||
131|PATCH|n-triples|application/n-quads|application/n-triples|default|application/n-triples|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|all found|||
132|PATCH|n-triples|application/n-quads|application/n-quads|default|application/n-quads|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|all found|||
133|PATCH|n-quads|application/n-triples|application/n-triples|default|application/n-triples|activity stream|0|||||||||application/n-quads|normal|6|modified|3|0|1|modified|1|2|0
134|PATCH|n-quads|application/n-triples|application/n-quads|default|application/n-quads|activity stream|0|||||||||application/n-quads|normal|6|modified|3|0|1|modified|1|2|0
135|PATCH|n-quads|application/n-quads|application/n-triples|default|application/n-triples|activity stream|0|||||||||application/n-quads|normal|6|modified|3|0|1|modified|1|2|0
136|PATCH|n-quads|application/n-quads|application/n-quads|default|application/n-quads|activity stream|0|||||||||application/n-quads|normal|6|modified|3|0|1|modified|1|2|0
137|PATCH|n-triples|application/n-triples|application/n-triples|graph-name-protocol|application/n-triples|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|modified|0|1|0
138|PATCH|n-triples|application/n-triples|application/n-quads|graph-name-protocol|application/n-quads|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|modified|0|1|0
139|PATCH|n-triples|application/n-quads|application/n-triples|graph-name-protocol|application/n-triples|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|modified|0|1|0
140|PATCH|n-triples|application/n-quads|application/n-quads|graph-name-protocol|application/n-quads|activity stream|0|||||||||application/n-quads|normal|4|modified|3|0|1|modified|0|1|0
141|PATCH|n-quads|application/n-triples|application/n-triples|graph-name-protocol|application/n-triples|activity stream|0|||||||||application/n-quads|normal|6|modified|3|0|1|modified|0|3|0
142|PATCH|n-quads|application/n-triples|application/n-quads|graph-name-protocol|application/n-quads|activity stream|0|||||||||application/n-quads|normal|6|modified|3|0|1|modified|0|3|0
143|PATCH|n-quads|application/n-quads|application/n-triples|graph-name-protocol|application/n-triples|activity stream|0|||||||||application/n-quads|normal|6|modified|3|0|1|modified|0|3|0
144|PATCH|n-quads|application/n-quads|application/n-quads|graph-name-protocol|application/n-quads|activity stream|0|||||||||application/n-quads|normal|6|modified|3|0|1|modified|0|3|0
